Family,genus species
Vochysiaceae,Erisma laurifolium
Vochysiaceae,Qualea dichotoma
Vochysiaceae,Qualea gestasiana
Vochysiaceae,Qualea glaziovii
Vochysiaceae,Qualea grandiflora
Vochysiaceae,Qualea laurifolia
Vochysiaceae,Qualea multiflora
Vochysiaceae,Qualea parviflora
Vochysiaceae,Qualea tricanthera
Vochysiaceae,Vochysia oppugnata
Xanthorrhoeaceae,Hemerocallis dumortieri
Xanthorrhoeaceae,Hemerocallis middendorfii
Meliaceae,Melia azedarach
SAPINDACEAE,Litchi chinensis
UMBELLIFERAE,Foeniculum  vulgare
UMBELLIFERAE,Foeniculum  semialata 
,Rhipsalis teres
,Rhipsalis cassytha
,Rhipsalis spp. 
,Rhipsalis teres
CACTACEAE,Carnegiea gigantea
GRAMINEAE,Gigantochloa  scortechinii 
CARYOCARACEAE,Caryocar  brasiliense
,Passiflora edulis  F. flavicarpa 
HELICONIACEAE,Heliconia psittacorum
EUPHORBIACEAE,Euphorbia spp. 
EUPHORBIACEAE,Ashtonia excelsa
EUPHORBIACEAE,Ashtonia praeterita
EUPHORBIACEAE,Ashtonia excelsa
EUPHORBIACEAE,Ashtonia praeterita
Asteraceae,Vanillosmopsis spp.
GESNERIACEAE,Drymonia spp.
GESNERIACEAE,Columnea sect Collandra spp.
Malpighiaceae,Banisteriopsis campestris
Asteraceae,Centaurea cyanus
Asteraceae,Centaurea cyanus
Malpighiaceae,Banisteriopsis malifolia
Annonacae,Annona glabra
Apocynaceae,Tabernaemontana alba
Asteraceae,Pluchea odorata
Bignoniaceae,Parmentiera aculeata
Combretaceae,Combretum fruticosum
Convolvulaceae,Ipomea alba
Convolvulaceae,Ipomea pres-caprae
Convolvulaceae,Ipomea sp.
Convolvulaceae,Ipomea trifida
Cyperaceae,Cyperus articulatus
Fabaceae,Acacia sp.
Fabaceae,Caesalpinea crista
Fabaceae,Centrosema virginianum
Fabaceae,Diphysa robinoides
Fabaceae,Erythrina americana
Fabaceae,Gliricidia sepium
Fabaceae,Indigofera suffructosa
Fabaceae,Macroptilium atropurpureum
Fabaceae,Macroptilium gibbosifolium
Fabaceae,Teramnus uncinatus
Loranthaceae,Phoradendron quadrangulare
Orchidaceae,Oncidium cebolleta
Passifloraceae,Passiflora sp.
Sapindaceae,Cardiospermum halicacabum
Sapindaceae,Paullinia fuscecens
Sapindaceae,Serjania sp.
Solanaceae,Solanum diversifolium
Fabaceae,Abarema laeta
Combretaceae,Buchenavia congesta
CUCURBITACEAE,Cucurbita pepo
Combretaceae,Buchenavia grandis
Malpighiaceae,Bunchosia argentea
Euphorbiaceae,Caryodendron orinocense
Fabaceae,Cedrelinga catenaeformis
Euphorbiaceae,Conceveiba rhytidocarpa
Fabaceae,Enterolobium barnebianum
Euphorbiaceae,Glycydendron amazonicum
Chrysobalanaceae,Hirtella excelsa
Fabaceae,Inga acreana
Fabaceae,Inga alata
Fabaceae,Inga alba
Fabaceae,Inga auristellae
Fabaceae,Inga bourgonii
Fabaceae,Inga brachyrhachis
Fabaceae,Inga cayennensis
Fabaceae,Inga chartacea
Fabaceae,Inga cinnamomea
Fabaceae,Inga cordatoalata
Fabaceae,Inga leiocalycina
Fabaceae,Inga semialata 
Fabaceae,Inga multinervis
Fabaceae,Inga poeppigiana
Fabaceae,Inga rusbyi
Fabaceae,Inga sarayacuensis
Fabaceae,Inga stipulacea
Fabaceae,Inga striata
Fabaceae,Inga tenuistipula
Fabaceae,Inga tocacheana
Fabaceae,Inga umbratica
Fabaceae,Inga velutina
Fabaceae,Inga vismiifolia
Fabaceae,Inga yacoana
Caricaceae,Jacaratia dititata
Chrysobalanaceae,Licania caudata
Chrysobalanaceae,Licania longistyla
Fabaceae,Marmaroxylon basijugum
Urticaceae,Pourouma minor
Vochysiaceae,Qualea paraensis
Euphorbiaceae,Tetrorchidium macrophyllum
Fabaceae,Zygia heteroneura
Fabaceae,Senna bracteosa
Fabaceae,Senna costata
Fabaceae,Senna didymobotrya
Fabaceae,Senna italica
Fabaceae,Senna martiana
Fabaceae,Senna paradycton
Fabaceae,Senna pleurocarpa
Fabaceae,Senna cana
Fabaceae,Senna robiinifolia
Fabaceae,Senna obitsufolia
Fabaceae,Senna pendula
Fabaceae,Senna occidentalis
Fabaceae,Senna aphylla
Fabaceae,Senna costata
Fabaceae,Senna hirsuta
Passifloraceae,Turnera velutina
Bignoniaceae,Amphitecna tuxtlensis
Cactaceae,Epiphyllum oxypetalum
Convolvulaceae,Ipomea phillomega
Costaceae,Costus dirzoi
Costaceae,Costus woodsonii
Cucurbitaceae,Cionosicys micranthus
Euphorbiaceae,Omphalea oleifera
Euphorbiaceae,Plukenetia stipellata
Salicaceae,Pleuranthodendron lindenii
Malpighiaceae,Hiraea fogifolia
Malpighiaceae,Heteropterys laurifolia
Leguminosae,Albizia tomentosa
Leguminosae,Cojaba arborea
Leguminosae,Inga acrocephala
Leguminosae,Inga pavoniana
Leguminosae,Inga quaternata
Leguminosae,Inga sinacae
Leguminosae,Erythrina folkersii
Passifloraceae,Passiflora sexocellata
Malvaceae,Heliocarpus donnellsmithi
Malvaceae,Heliocarpus appendiculatus
Burseraceae,Protium pilosum
Celastraceae,Cheiloclinium sp. 
Leguminosae,Vatairea sp. 
Salicaceae,Casearia sp. 
Lecythidaceae,Couratari sp.
Rubiaceae,Palicourea sp.
Rubiaceae,Uncaria sp.
Cannabaceae,Trema micrantha
Urticaceae,Urera sp.
Rubiaceae,Palicourea rigida
Asteraceae,Austroeupatorium inulaefolium
Asteraceae,Erigeron bonariensis
Malpighiaceae,Stigmaphyllon sp. 
Lamiaceae,Citharexylum kunthianum
Asteraceae,Clibadium surinamense
Fabaceae,Mimosa albida
Cactaceae,Hylocereus  setaceus
Cactaceae,Epiphyllum phyllantus
Cactaceae,Epiphyllum hookeri ssp. guatemalense
Connaraceae,Connarus perrottetii
Connaraceae,Connarus suberosus
Rubiaceae,Cordiera sessilis
Malpighiaceae,Heteropterys  orinocensis
Euphorbiaceae,Maprounea guianensis
Polygalaceae,Moutabea excoriata
Simaroubaceae,Simaba ferruginea
Simaroubaceae,Simaba glabra
Simaroubaceae,Simaba trichilioides
Simaroubaceae,Simarouba versicolor
Fabaceae,Vachellia erioloba
Ebenaceae,Diospyros adenophora
Ebenaceae,Diospyros andamanica
Ebenaceae,Diospyros apiculata
Ebenaceae,Diospyros argentea
Ebenaceae,Diospyros diepenhorstii
Ebenaceae,Diospyros pyrrhocarpa
Ebenaceae,Diospyros scortechinii 
Ebenaceae,Diospyros pulchrinervia
Fabaceae,Archidendron clypearia
Fabaceae,Archidendron contortum
Fabaceae,Archidendron microcarpum
Fabaceae,Parkia speciosa
Fabaceae,Pithecellobium splendens
Fabaceae,Saraca declinata
Fabaceae,Saraca thaipingensis
Euphorbiaceae,Croton oblongus
Euphorbiaceae,Elateriospermum tapos
Euphorbiaceae,Macaranga recurvata
Bignoniaceae,Deplanchea bancana
Cactaceae,Cylindropuntia indicata
Fabaceae,Senegalia multipinnata
Fabaceae,Machaerium multifoliolatum
Fabaceae,Stryphnodendron pulcherrimum
Fabaceae,Piptadenia minutiflora
Fabaceae,Platymiscium sp.
Violaceae,Rinorea sp.
Malpighiaceae,Heteropterys pteropetala
Cactaceae,Opuntia sulphurea
Cactaceae,Opuntia alexanderi
Cactaceae,Opuntia articulata
Leguminosae,Senegalia gilliesii
Fabaceae,Prosopis chilensis
Leguminosae,Prosopis flexuosa
Leguminosae,Prosopis torquata
Convolvulaceae,Cuscuta exaltata
Convolvulaceae,Cuscuta lehmanniana
Convolvulaceae,Cuscuta monogyna
Convolvulaceae,Cuscuta lupuliformis
Convolvulaceae,Cuscuta cassytoides
Orchidaceae,Epidendrum tridactylum
Verbenaceae,Stachytarpheta glabra
Solanaceae,Markea longiflora
Gesneriaceae,Codonanthe uleana
Euphorbiaceae,Croton sonderianus
Euphorbiaceae,Croton adamantinus
Euphorbiaceae,Cnidoscolus quercifolius
, 
Rubiaceae,Cordiera macrophylla
Leguminosae,Vigna adenantha
Euphorbiaceae,Maprounea brasiliensis
Lamiaceae,Clerodendrum chinense
Euphorbiaceae,Macaranga harveyana
Leguminosae,Bauhinia yunnanensis
Leguminosae,Kennedia rubicunda
Leguminosae,Bauhinia corniculata
Orchidaceae,Vanda coerulea
Leguminosae,Phaseolus coccineus
Leguminosae,Chamaecrista adiantifolia
Leguminosae,Chamaecrista  adiantifolia 
Leguminosae,Chamaecrista aspidiifolia
Leguminosae,Chamaecrista aspleniifolia
Leguminosae,Chamaecrista compitalis
Leguminosae,Chamaecrista duartei
Leguminosae,Chamaecrista eitenorum
Leguminosae,Chamaecrista ensiformis
Solanaceae,Solanum lycopersicum
Poaceae,Zea mays
Poaceae,Sorghum amplum
Pinaceae,Pinus arizonica
Leguminosae,Medicago sativa
Leguminosae,Inga luschnathiana
Fabaceae,Prosopis  laevigata
Fabaceae,Poincianella pyramidalis
Fabaceae,Poincianella microphylla
Fabaceae,Mimosa tenuiflora
Fabaceae,Acacia gerrardii
Euphorbiaceae,Brasiliocroton  mamoninha
Euphorbiaceae,Croton  orinocensis
Euphorbiaceae,Croton  fragrans
Vitaceae,Leea guineensis
Euphorbiaceae,Croton  amentiformis
Calophyllaceae,Caraipa grandifolia
Cucurbitaceae,Coccinia sessilifolia
Cucurbitaceae,Coccinia grandiflora
Cucurbitaceae,Coccinia grandis
Cucurbitaceae,Coccinia microphylla
Cucurbitaceae,Coccinia trilobata
Fabaceae,Chamaecrista bahiae
Fabaceae,Chamaecrista negrensis
Fabaceae,Chamaecrista polystachya
Fabaceae,Chamaecrista scleroxylon
Fabaceae,Chamaecrista apoucouita
Fabaceae,Chamaecrista hymenaeifolia
Fabaceae,Chamaecrista subpeltata
Fabaceae,Chamaecrista xinguensis
Polygalaceae,Monnina arbutus
Polygalaceae,Atroxima afzeliana
Polygalaceae,Monnina cardiocarpa
Polygalaceae,Monnina goiana
Polygalaceae,Monnina hassleri
Polygalaceae,Monnina herbacea
Polygalaceae,Monnina herzogii
Polygalaceae,Monnina lechleriana
Polygalaceae,Monnina oblongifolia
Polygalaceae,Monnina resedoides
Polygalaceae,Monnina retusa
Polygalaceae,Monnina stenophylla
Polygalaceae,Monnina stipulata
Polygalaceae,Monnina tristaniana
Polygalaceae,Monnina weddelliana
Polygalaceae,Securidaca elliptica
Polygalaceae,Securidaca virgata
Solanaceae,Solanum dulcamara
Cactaceae,Cylindropuntia cholla
Cactaceae,Coryphantha georgii
Cactaceae,Coryphantha glanduligera
Cactaceae,Coryphantha glassii
Cactaceae,Coryphantha jalapensis
Cactaceae,Coryphantha maiz-tablasensis
Cactaceae,Coryphantha potosiana
Cactaceae,Coryphantha pseudoechinus
Cactaceae,Coryphantha pseudonickelsieae
Cactaceae,Coryphantha pulleineana
Cactaceae,Coryphantha vaupeliana
Cactaceae,Coryphantha vogtherriana
Cactaceae,Coryphantha wohlschlageri
Cactaceae,Sclerocactus glaucus
Cactaceae,Sclerocactus papyracanthus
Cactaceae,Sclerocactus scheeri
Cactaceae,Echinomastus unguinpinus
Cactaceae,Sclerocactus whipplei
Cactaceae,Stenocactus coptonogonus
Cactaceae,Stenocactus thurberi
Cactaceae,Thelocactus bicolor
Cactaceae,Thelocactus conothelos
Cactaceae,Thelocactus hastifer
Cactaceae,Thelocactus hexaedrophorus
Cactaceae,Thelocactus lauseri
Cactaceae,Thelocactus leucanthus
Cactaceae,Thelocactus macdowellii
Cactaceae,Thelocactus rinconensis
Cactaceae,Thelocactus setispinus
Cactaceae,Thelocactus tulensis
Cactaceae,Brasiliopuntia brasiliensis
Cactaceae,Calymmanthium substerile
Cactaceae,Harrisia pomanensis
Cactaceae,Opuntia pycnantha
Cactaceae,Acanthocereus tetragonus
Cactaceae,Leptocereus paniculatus
Cactaceae,Leptocereus weingartianus
Cactaceae,Myrtillocactus geometrizans
Cactaceae,Lophocereus schottii
Cactaceae,Armatocereus procerus
Cactaceae,Armatocereus rauhii
Cactaceae,Lophocereus gatesii
Cactaceae,Acanthocereus quadricostatus
Cactaceae,Armatocereus matucanensis
Cactaceae,Echinocactus grusonii
Cactaceae,Harrisia martinii
Cactaceae,Hylocereus escuintlensis
Cactaceae,Hylocereus undatus
Cactaceae,Opuntia monacantha
Cactaceae,Peniocereus fosterianus
Cactaceae,Pereskiopsis sp.
Cactaceae,Pilosocereus arrabidae
Cactaceae,Pilosocereus gounellei
Cactaceae,Quiabentia sp.
Cactaceae,Stenocereus gummosus
Cactaceae,Stenocereus alamosensis
Cactaceae,Stenocereus littoralis
Passifloraceae,Turnera joelii
Araceae,Philodendron adamantinum
Araceae,Philodendron corcovadense
Araceae,Philodendron brasiliense
Araceae,Philodendron goeldii
Araceae,Philodendron mello-barretoanum
Araceae,Philodendron petraeum
Araceae,Philodendron solimoesense
Araceae,Philodendron speciosum
Araceae,Philodendron appendiculatum
Araceae,Philodendron applanatum
Araceae,Philodendron asplundii
Araceae,Philodendron atabapoense
Araceae,Philodendron barrosoanum
Araceae,Philodendron billietiae
Araceae,Philodendron bipenifolium
Araceae,Philodendron biribiriense
Araceae,Philodendron blanchetianum
Araceae,Philodendron brandtianum
Araceae,Philodendron callosum
Araceae,Philodendron cipoense
Araceae,Philodendron cordatum
Araceae,Philodendron crassinervium
Araceae,Philodendron distantilobum
Araceae,Philodendron edmundoi
Araceae,Philodendron ernestii
Araceae,Philodendron gloriosum
Araceae,Philodendron grazielae
Araceae,Philodendron hederaceum
Araceae,Philodendron imbe
Araceae,Philodendron insigne
Araceae,Philodendron linnaei
Araceae,Philodendron longilaminatum
Araceae,Philodendron longistilum
Araceae,Philodendron martianum
Araceae,Philodendron maximum
Araceae,Philodendron mayoi
Araceae,Philodendron megalophyllum
Araceae,Philodendron melinonii
Araceae,Philodendron micranthum
Araceae,Philodendron nullinervium
Araceae,Philodendron pastazanum
Araceae,Philodendron pedatum
Araceae,Philodendron pinnatifidum
Araceae,Philodendron quinquelobum
Araceae,Philodendron radiatum
Araceae,Philodendron recurvifolium
Araceae,Philodendron renauxii
Araceae,Philodendron rhizomatosum
Araceae,Philodendron ricardoi
Araceae,Philodendron ruthianum
Araceae,Philodendron spiritus-sancti
Araceae,Philodendron tortum
Araceae,Philodendron uleanum
Araceae,Philodendron vargealtense
Araceae,Philodendron wullschlaegelii
Araceae,Philodendron camposportoanum
Araceae,Philodendron flumineum
Araceae,Philodendron guianense
Araceae,Philodendron guttiferum
Araceae,Philodendron inaequilaterum
Araceae,Philodendron obliquifolium
Euphorbiaceae,Croton  pyramidalis
Malpighiaceae,Banisteriopsis vernoniifolia
Fabaceae,Crotalaria micans
Malpighiaceae,Heteropterys umbellata
Fabaceae,Inga sessilis
Fabaceae,Inga vulpina
Fabaceae,Senna renniformis
Asteraceae,Baccharis concinna
Asteraceae,Mikania neurocaula
Asteraceae,Symphyopappus reticulatus
Euphorbiaceae,Bernardia similis
Euphorbiaceae,Sapium glandulatum
Fabaceae,Camptosema coriaceum
Fabaceae,Chamaecrista papillata
Fabaceae,Chamaecrista ramosa
Malpighiaceae,Banisteriopsis angustifolia
Malpighiaceae,Tetrapterys microphylla
Primulaceae,Myrsine monticola
Vochysiaceae,Qualea cordata
Gentianaceae,Anthocleista vogelii
Malpighiaceae,Heteropterys escallonifolia
Euphorbiaceae,Croton  echinocarpus
Cactaceae,Pilosocereus tuberculatus
Fabaceae,Chamaecrista ramosa var. ramosa
Fabaceae,Chamaecrista ramosa var. curvifoliola
Fabaceae,Chamaecrista ramosa var. parvifoliola
Fabaceae,Chamaecrista ramosa var. lucida
Fabaceae,Bauhinia forficata
Passifloraceae,Passiflora megacoriacea
Fabaceae,Desmanthus acuminatus
Fabaceae,Mimosa bifurca
Fabaceae,Prosopis  affinis
Fabaceae,Senegalia bonariensis
Fabaceae,Galactia latisiliqua
Fabaceae,Macroptilium prostratum
Fabaceae,Vigna candida
Fabaceae,Vigna peduncularis
Polygonaceae,Fagopyrum esculentum
Malpighiaceae,Heteropterys  umbellata
Smilacaceae,Smilax  polyantha
Passifloraceae,Passiflora  tholozanii
Dennstaedtiaceae,Pteridium aquilinum
Ephedraceae,Ephedra sinica
"	Welwitschiaceae",Welwitschia mirabilis
Fabaceae,Chamaecrista brevipes
Balanophoraceae,Langsdorffia hypogaea
Asparagaceae,Dracaena trifasciata
Adoxaceae,Viburnum spp.
Fabaceae,Senna mexicana var. chapmanii
Fabaceae,Chamaecrista anceps
Fabaceae,Chamaecrista aristata
Fabaceae,Chamaecrista burchelli
Fabaceae,Chamaecrista cardiostegia
Fabaceae,Chamaecrista caribaea var caribaea
Fabaceae,Chamaecrista caribea var lucayana
Fabaceae,Chamaecrista caribea var inaguensis
Fabaceae,Chamaecrista cinerascens
Fabaceae,Chamaecrista lagotois
Fabaceae,Chamaecrista rossicorum
Fabaceae,Chamaecrista multinervia
Fabaceae,Chamaecrista distichoclada
Fabaceae,Chamaecrista roraimae
Fabaceae,Chamaecrista rotundata
Fabaceae,Chamaecrista rotundata var interstes
Fabaceae,Chamaecrista rotundata var grandistipula
Fabaceae,Chamaecrista simplifacta
Fabaceae,Chamaecrista tragacanthoides
Fabaceae,Chamaecrista tragacanthoides var raca
Fabaceae,Chamaecrista ulmea
Fabaceae,Chamaecrista venulosa
Fabaceae,Chamaecrista flexuosa var. flexuosa
Fabaceae,Chamaecrista flexuosa var. texana
Fabaceae,Chamaecrista gonoclada 
Fabaceae,Chamaecrista parvistipula
Fabaceae,Chamaecrista swainsoni
Fabaceae,Chamaecrista cordistipula
Fabaceae,Chamaecrista kunthiana
Fabaceae,Chamaecrista pilosa var. pilosa
Fabaceae,Chamaecrista pilosa var. luxurians
Fabaceae,Chamaecrista serpens var. serpens
Fabaceae,Chamaecrista tenuisepala
Fabaceae,Chamaecrista trichopoda
Fabaceae,Chamaecrista greggii var. greggii
Fabaceae,Chamaecrista greggii var. macdougaliana
Fabaceae,Chamaecrista greggii var. potosini
Fabaceae,Chamaecrista cuprea
Fabaceae,Chamaecrista deeringiana
Fabaceae,Chamaecrista glandulosa
Fabaceae,Chamaecrista lineata
Fabaceae,Chamaecrista nictitans var. paraguariensis
Fabaceae,Chamaecrista nictitans var. disadena
Fabaceae,Chamaecrista nictitans var. jaliscensis
Fabaceae,Chamaecrista obcordata
Fabaceae,Chamaecrista pedicellaris var. pedicellaris
Fabaceae,Chamaecrista pedicellaris var. adenosperma
Fabaceae,Chamaecrista portoricensis var. portoricensis
Fabaceae,Chamaecrista pygmaea var. pygmaea
Fabaceae,Chamaecrista pygmaea var. savannarum
Fabaceae,Chamaecrista repens var. repens
Fabaceae,Chamaecrista repens var. multijuga
Fabaceae,Chamaecrista rufa var. exsul
Fabaceae,Chamaecrista rufa var. polyplebia
Fabaceae,Chamaecrista venturiana
Fabaceae,Chamaecrista vestita
Fabaceae,Chamaecrista calycioides var. calycioides
Fabaceae,Chamaecrista duckeana
Fabaceae,Chamaecrista desvauxii var. desvauxii
Fabaceae,Chamaecrista desvauxii var. glauca
Fabaceae,Chamaecrista desvauxii var. graminea
Malpighiaceae,Banisteriopsis muricata
